riga;nome attributo;valore da imputare;valore imputato
27;Car;Peugeot 504;?
33;Car;Chevy C20;?
313;Car;Buick Skylark Limited;?
368;Car;Saab 900s;?
66;Car;Dodge Colt Hardtop;?
157;MPG;24.0;?
113;MPG;13.0;?
222;MPG;13.0;?
45;MPG;18.0;19.0
319;Cylinders;4;4
111;Displacement;400.0;?
390;Displacement;107.0;?
377;Displacement;112.0;?
198;Displacement;351.0;?
281;Horsepower;97.0;?
166;Horsepower;150.0;?
191;Horsepower;81.0;?
324;Horsepower;90.0;?
176;Horsepower;83.0;?
17;Weight;3609.0;?
163;Weight;3158.0;?
109;Weight;2904.0;?
315;Weight;2700.0;?
177;Acceleration;16.0;13.0
268;Acceleration;18.7;?
130;Acceleration;14.0;?
129;Acceleration;11.0;12.5
342;Acceleration;12.5;?
145;Model;74;?
297;Model;79;73
144;Model;74;72
402;Origin;US;?
243;Origin;Japan;Japan
51;Origin;US;US
348;Origin;US;?
265;Origin;US;?
251;Origin;Japan;Japan
