riga;nome attributo;valore da imputare;valore imputato
2991;Legislative_District;36.0;?
2504;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Eligibility unknown as battery range has not been researched;?
1854;Make;TESLA;?
3323;Model_Year;2021;?
1827;State;WA;WA
618;State;WA;WA
1227;County;King;?
2797;City;Buckley;?
557;Make;BMW;?
2026;County;Snohomish;?
1814;County;Snohomish;?
2638;Electric_Range;0;?
201;Make;CHEVROLET;?
3074;State;WA;WA
2600;City;Kingston;?
221;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);Battery Electric Vehicle (BEV)
861;County;Snohomish;Snohomish
285;State;WA;WA
522;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
187;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Clean Alternative Fuel Vehicle Eligible;Clean Alternative Fuel Vehicle Eligible
1937;State;WA;WA
3772;Legislative_District;33.0;?
3581;Model;SOLTERRA;?
2429;State;WA;WA
1710;Legislative_District;40.0;?
1591;City;Renton;?
1228;City;Gig Harbor;?
3455;Model_Year;2023;?
50;City;Vancouver;?
3051;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
550;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);Battery Electric Vehicle (BEV)
3142;Legislative_District;41.0;?
688;Make;MERCEDES-BENZ;?
3911;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
1398;Legislative_District;47.0;?
3466;Model_Year;2013;?
2376;Electric_Range;0;?
3765;Model_Year;2022;?
2883;Legislative_District;23.0;?
3993;Model;MODEL Y;?
652;Make;TESLA;?
478;Model_Year;2022;?
3198;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Clean Alternative Fuel Vehicle Eligible;?
720;Model_Year;2023;?
1418;State;WA;WA
2512;City;Seattle;?
3926;County;King;?
3560;Make;SUBARU;?
2771;Electric_Range;0;?
3610;Model;EV6;?
2114;Electric_Range;0;?
1458;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Not eligible due to low battery range;?
554;Make;TESLA;?
3358;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Eligibility unknown as battery range has not been researched;?
3725;Make;TESLA;?
2692;Model;MODEL Y;?
2660;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Clean Alternative Fuel Vehicle Eligible;?
1930;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Clean Alternative Fuel Vehicle Eligible;?
3904;County;Yakima;?
148;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Eligibility unknown as battery range has not been researched;Eligibility unknown as battery range has not been researched
1187;City;Tukwila;?
2383;County;Whatcom;?
3054;Model;MUSTANG MACH-E;?
3963;Legislative_District;23.0;?
3809;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
1021;County;King;King
1640;State;WA;WA
3635;Electric_Range;18;?
926;Model_Year;2019;?
1215;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Clean Alternative Fuel Vehicle Eligible;?
