riga;nome attributo;valore da imputare;valore imputato
562;class;449;?
686;addr;519 s. fairfax ave.;?
778;class;666;?
172;city;atlanta;atlanta
583;name;fog city diner;?
175;name;nikolai's roof;?
782;name;spago (las vegas);?
36;name;philippe the original;?
692;city;encino;?
569;phone;415/929-8855;?
256;city;los angeles;venice
265;type;cajun;?
143;class;71;?
559;city;las vegas;?
497;city;atlanta;?
668;name;indo cafe;?
81;city;new york;new york city
803;city;atlanta;?
722;addr;432 sixth ave.;?
753;phone;212-687-4855;?
565;addr;3900 paradise rd.;?
186;city;atlanta;atlanta
407;class;294;?
46;city;pasadena;?
23;phone;310/652-9770;?
779;type;steakhouses;?
502;addr;3300 peachtree rd.  grand hyatt;?
748;class;636;?
854;addr;2817 24th st.;?
415;type;french;?
613;type;american;?
85;addr;160 central park s;?
147;class;73;73
338;class;225;?
286;name;9 jones street;?
132;type;american (new);?
815;city;atlanta;?
528;name;sa tsu ki;?
189;name;alain rondelli;?
167;city;atlanta;atlanta
400;city;new york;?
152;city;atlanta;?
576;name;california culinary academy;?
288;name;agrotikon;?
252;type;italian;?
252;class;139;?
486;city;new york;new york
63;addr;20 e. 76th st.;?
155;type;french;?
735;name;la grenouille;?
720;phone;212-260-6800;?
809;city;duluth;?
345;addr;1325 5th ave. at 111th st.;?
213;addr;648 bush st.;?
163;name;georgia grille;?
820;addr;4330 peachtree rd.;?
481;city;new york;?
421;phone;212/838-2600;?
644;city;san francisco;new york city
648;city;westlake village;?
258;phone;310/659-6919;?
682;city;st. boyle hts.;?
761;phone;212-349-3132;?
31;phone;310/550-8811;?
462;addr;57 w. 48th st.;?
237;type;caribbean;?
398;name;le chantilly;?
580;phone;415/296-8555;?
53;city;new york;new york city
268;phone;213/461-8800;?
333;phone;212/956-7100;?
504;phone;404/364-0212;?
142;class;70;70
246;addr;134 n. la cienega;?
452;city;new york;?
296;class;183;?
687;name;martha's;?
236;addr;3rd st.;?
99;phone;212/ 219-2777;?
791;city;atlanta;?
655;addr;1570 rosecrans ave. s.;?
225;phone;310/475-9807;?
603;type;italian;?
346;class;233;?
74;city;new york city;new york city
763;type;chinese;?
607;phone;415/861-6224;?
215;city;san francisco;?
764;addr;107th fl.;?
335;class;222;?
518;addr;1931 peachtree rd.;?
644;type;mexican/latin american/spanish;?
708;city;la;?
392;type;french;?
358;phone;212/355-2020;?
142;type;french (new);?
387;class;274;?
512;class;399;?
794;phone;404-231-5907;?
430;phone;212/944-3643;?
634;phone;415/863-9335;?
516;city;atlanta;?
285;class;172;?
533;city;atlanta;?
143;name;second street grille;?
723;name;edison cafe;?
716;city;new york city;?
417;type;american;?
520;phone;404/237-1313;?
512;addr;192 peachtree center ave.  at international blvd.;?
552;addr;2411 w. sahara ave.;?
837;addr;1805 haight st.;?
45;type;asian;?
715;name;arcadia;?
817;class;705;?
677;class;565;?
10;addr;624 s. la brea ave.;?
492;phone;404/876-8532;?
747;class;635;?
662;class;550;?
842;type;vietnamese;?
456;city;new york;?
636;addr;600 montgomery st.;?
322;type;coffee bar;?
796;addr;4199 paces ferry rd.;?
664;city;westwood;?
587;phone;415/771-6222;?
322;addr;119 macdougal st.  between 3rd and bleecker sts.;?
681;city;malibu;?
707;addr;11288 ventura blvd.;?
705;phone;310-859-8744;?
93;city;new york;new york
630;name;straits cafe;?
301;city;new york;?
735;addr;3 e. 52nd st.;?
657;type;american;?
528;type;asian;?
441;addr;140 w. 57th st.;?
267;phone;818/761-9126;?
775;name;mayflower cuisinier;?
54;phone;212-496-6031;?
501;addr;1186 n. highland ave.;?
232;type;italian;?
309;type;american;?
860;class;748;?
243;type;french;?
456;phone;212/570-2211;?
439;class;326;?
808;type;chinese;?
755;name;sushisay;?
490;name;zen palate;?
624;phone;415/395-8555;?
775;class;663;?
545;phone;702/735-8686;?
107;phone;212/724-8585;?
700;city;los angeles;san francisco
585;class;472;?
475;city;new york;?
475;type;italian;?
394;addr;4 w. 49th st.;?
711;name;uncle bill's pancake house;?
61;addr;2 harrison st.  near hudson st.;?
381;name;inca grill;?
36;addr;1001 n. alameda st.;?
221;name;ritz-carlton restaurant and dining room;?
599;name;kabuto sushi;?
790;city;atlanta;?
459;type;american;?
807;type;cuban;?
140;name;le montrachet bistro;?
624;name;scala's bistro;?
170;city;atlanta;atlanta
703;class;591;?
712;phone;213-891-0900;?
53;phone;212/496-6031;?
386;type;asian;?
389;class;276;?
467;name;sweet'n'tart cafe;?
303;addr;13 1st ave.  near 1st st.;?
564;class;451;?
301;addr;228 8th ave.  between 21st and 22nd sts.;?
187;type;italian;?
38;class;18;?
197;phone;415/955-5555;?
769;addr;3300 las vegas blvd. s.;?
847;addr;288 noe st.;?
532;phone;770/458-7145;?
830;city;atlanta;?
249;phone;310/454-3474;?
735;class;623;?
97;city;new york;new york city
552;phone;702/367-2411;?
419;phone;212/679-5535;?
252;name;il fornaio cucina italiana;?
269;type;italian;?
398;phone;212/751-2931;?
763;addr;689 ninth ave.;?
477;type;american;?
678;city;la;?
542;addr;3400 las vegas blvd. s;?
307;phone;212/727-2775;?
152;name;bacchanalia;?
460;city;new york;?
232;name;ca'del sol;?
12;city;santa monica;santa monica
644;addr;2000 hyde st.;?
532;addr;3384 shallowford rd.  chamblee;?
316;name;cafe pierre;?
443;phone;212/595-8555;?
637;class;524;?
130;addr;747 ninth ave.;?
80;addr;33 w. 55th st.;?
133;name;virgil's;?
63;city;new york;new york city
557;addr;3120 las vegas blvd. s;?
184;type;french (classic);?
834;phone;415-621-8579;?
138;phone;702-891-7349;?
446;addr;439 e. 75th st.;?
75;addr;402 w. 44th st.;?
477;class;364;?
380;class;267;?
208;class;103;103
836;name;campo santo;?
657;class;545;?
729;type;chinese;?
433;name;palio;?
766;type;japanese;?
429;city;new york;new york
6;class;2;2
639;class;526;?
311;class;198;220
849;name;mario's bohemian cigar store cafe;?
201;addr;777 sutter st.;?
492;city;atlanta;?
13;class;6;6
718;name;corner bistro;?
107;class;53;53
730;name;john's pizzeria;?
739;type;japanese;?
554;class;441;?
693;class;581;?
479;class;366;?
541;class;428;671
473;city;new york;?
534;phone;404/874-5535;?
258;class;145;?
607;class;494;?
196;city;san francisco;san francisco
826;phone;404-233-2005;?
443;city;new york;?
37;class;18;?
596;addr;1265 battery st.;?
310;name;c3;?
201;phone;415/673-7779;?
821;phone;404-814-1955;?
432;class;319;?
271;class;158;?
204;city;san francisco;san francisco
