riga;nome attributo;valore da imputare;valore imputato
632;lpg;0.0071;0.0077
586;lpg;0.0051;0.0051
2240;smoke;0.018000000000000002;0.02
178;light;0;0
748;humidity;51.0;?
2379;temp;19.7;19.7
2775;motion;0;0
1345;motion;0;0
2142;co;0.005;0.005
2944;motion;0;0
1206;lpg;0.0048;?
2459;light;0;0
2060;temp;26.8;27.0
2125;device;00:0f:00:70:91:0a;?
1142;humidity;76.1;?
524;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2598;temp;22.6;22.7
2595;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2863;lpg;0.0067;?
470;co;0.005;0.005
560;co;0.0028;0.0028
521;smoke;0.021;0.02
1438;light;1;?
1617;temp;26.8;27.0
1007;lpg;0.0069;0.0077
1436;temp;22.6;22.7
2896;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
908;smoke;0.018000000000000002;0.02
1183;smoke;0.013000000000000001;?
1830;light;0;0
2469;humidity;77.6;?
345;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2459;motion;0;0
1218;light;0;0
501;light;0;0
260;temp;27.0;27.0
276;motion;0;0
1149;motion;0;0
2566;humidity;76.3;?
1060;temp;22.6;22.7
1632;lpg;0.0048;?
1671;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2899;motion;0;0
1529;co;0.0026;?
1716;lpg;0.0078;0.0077
7;temp;22.6;22.7
486;light;0;0
2004;temp;26.8;27.0
338;motion;0;0
706;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
1510;humidity;77.6;?
2073;smoke;0.012;?
396;humidity;74.7;?
2981;temp;19.9;19.7
2777;device;00:0f:00:70:91:0a;?
2167;motion;0;0
1318;co;0.0026;?
1534;smoke;0.018000000000000002;?
1755;lpg;0.0077;0.0077
118;smoke;0.013000000000000001;0.013000000000000001
1671;smoke;0.021;0.02
158;lpg;0.006999999999999999;0.0077
2261;motion;0;0
1823;motion;0;0
312;co;0.0028;0.0028
1369;temp;26.9;27.0
1494;smoke;0.019;?
280;temp;22.6;22.7
1251;lpg;0.0078;0.0077
2171;humidity;51.2;?
2853;temp;22.6;22.7
2357;co;0.005;0.005
1884;light;0;?
964;co;0.0027;?
2540;lpg;0.0077;?
2135;motion;0;0
2411;lpg;0.0069;?
1141;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2285;smoke;0.018000000000000002;?
2168;humidity;77.6;?
2880;temp;26.7;1.3
1025;lpg;0.006999999999999999;0.0077
1953;humidity;50.9;?
1077;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
861;co;0.0044;0.005
1372;motion;0;0
1044;co;0.0045;0.005
1354;lpg;0.0077;0.0077
2495;lpg;0.0068;?
1943;temp;19.5;19.7
2562;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
1873;temp;19.5;19.7
2821;light;1;?
561;lpg;0.0077;0.0077
1500;smoke;0.021;0.02
2739;light;0;?
2967;device;1c:bf:ce:15:ec:4d;?
1694;smoke;0.012;?
1948;temp;22.1;22.7
428;motion;0;0
1535;light;0;0
2180;temp;22.5;22.7
1507;temp;22.7;22.7
803;humidity;77.9;?
755;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
41;temp;22.6;22.7
1802;humidity;49.0;?
1207;humidity;51.1;?
200;motion;0;0
1030;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
2533;motion;0;0
2722;temp;26.7;1.3
680;lpg;0.0078;0.0077
2454;motion;0;0
2193;smoke;0.021;0.02
1306;lpg;0.0078;0.0077
2981;lpg;0.0045;0.0051
2503;motion;0;0
2567;device;1c:bf:ce:15:ec:4d;?
2;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
2067;smoke;0.02;0.02
2983;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
62;co;0.0044;0.005
853;humidity;76.0;?
2641;light;1;?
1503;co;0.0026;?
204;light;0;0
571;humidity;78.1;?
1192;humidity;78.3;?
875;humidity;51.2;?
1301;smoke;0.021;0.02
2489;motion;0;0
106;co;0.0028;0.0028
1672;motion;0;0
98;temp;22.6;22.7
1349;temp;22.6;22.7
1955;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
2476;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
2571;co;0.0041;?
503;temp;22.0;22.7
651;co;0.005;0.005
1218;motion;0;0
1893;co;0.005;0.005
1449;smoke;0.021;?
1082;lpg;0.006999999999999999;0.0077
1986;motion;0;0
2676;temp;19.8;19.7
368;smoke;0.013000000000000001;0.013000000000000001
1218;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
772;motion;0;0
394;motion;0;0
1488;temp;19.7;19.7
1536;temp;22.7;22.7
1998;temp;19.5;19.7
1053;device;00:0f:00:70:91:0a;?
1650;device;1c:bf:ce:15:ec:4d;?
907;motion;0;0
1921;lpg;0.0048;0.0051
2413;lpg;0.0046;?
65;humidity;51.0;?
859;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
1759;lpg;0.0048;?
2090;humidity;77.7;?
2888;co;0.005;?
434;motion;0;0
119;light;0;0
1906;lpg;0.0077;0.0077
1869;co;0.0043;?
894;co;0.0043;0.005
1551;co;0.0043;?
2952;device;1c:bf:ce:15:ec:4d;?
569;lpg;0.0077;0.0077
197;motion;0;0
649;temp;19.5;19.7
1262;lpg;0.0068;?
302;smoke;0.013000000000000001;0.013000000000000001
2534;smoke;0.021;?
1062;smoke;0.018000000000000002;0.02
380;co;0.005;0.005
215;temp;27.0;27.0
318;temp;27.0;27.0
1845;motion;0;0
765;temp;19.6;19.7
434;smoke;0.013000000000000001;0.013000000000000001
904;light;0;0
2916;humidity;76.7;?
313;motion;0;0
417;smoke;0.021;0.02
2435;device;b8:27:eb:bf:9d:51;b8:27:eb:bf:9d:51
1093;light;0;0
333;temp;22.4;22.7
2644;co;0.005;?
376;lpg;0.0069;0.0077
1011;smoke;0.021;0.02
356;device;00:0f:00:70:91:0a;00:0f:00:70:91:0a
296;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
1785;light;0;0
98;humidity;51.0;?
1721;humidity;75.2;?
1826;smoke;0.018000000000000002;?
1131;smoke;0.018000000000000002;0.02
801;temp;19.6;19.7
2866;co;0.0049;?
596;humidity;75.3;?
748;co;0.005;0.005
163;smoke;0.019;0.02
2534;co;0.005;?
511;lpg;0.0077;0.0077
125;humidity;76.2;?
1265;lpg;0.0078;0.0077
783;smoke;0.021;0.02
1559;motion;0;0
648;lpg;0.006999999999999999;0.0077
1233;humidity;75.9;?
425;motion;0;0
2546;temp;19.8;19.7
1410;co;0.0042;?
1554;light;1;?
184;lpg;0.0077;0.0077
2240;temp;26.8;27.0
2450;light;0;?
2837;humidity;76.8;?
29;device;1c:bf:ce:15:ec:4d;1c:bf:ce:15:ec:4d
1924;humidity;49.9;?
2976;temp;22.7;22.7
1429;temp;22.7;22.7
1201;smoke;0.021;0.02
2800;light;0;0
310;humidity;49.5;?
2327;light;1;?
1856;temp;19.6;19.7
989;motion;0;0
1098;lpg;0.0077;0.0077
2890;motion;0;0
1279;co;0.005;0.005
848;humidity;77.9;?
41;motion;0;0
1624;temp;19.8;19.7
990;light;1;1
2725;device;00:0f:00:70:91:0a;?
381;temp;19.6;19.7
451;smoke;0.013000000000000001;0.013000000000000001
479;humidity;48.8;?
2088;humidity;75.6;?
2512;motion;0;0
1088;light;0;0
