riga;nome attributo;valore da imputare;valore imputato
1818;circuit_name;Catalunya;?
2817;bike_name;KTM;KR211V
3398;rider_name;Bagnaia Francesco;?
4430;country;ES;ES
1510;country;DE;DE
45;circuit_name;Le Mans;?
1935;country;ES;ES
3119;number;33.0;33.0
646;rider;2032;?
1110;category;250cc;250cc
1211;rider;2006;?
3711;bike_name;Kalex;?
1262;rider_name;Terol Nicolas;?
4141;country;ES;CZ
2318;number;94.0;94.0
1136;bike_name;Gilera;Ducati
487;number;14.0;73.0
1154;rider_name;Di Meglio Mike;?
1126;circuit_name;Donington Park;?
2198;rider_name;Espargaro Pol;?
3909;position;4;1
487;year;2007;?
4180;position;5;?
2931;team_name;Ajo Motorsport;?
611;circuit_name;Sachsenring;?
2545;rider_name;Morbidelli Franco;Morbidelli Franco
1390;shortname;INP;?
37;number;32.0;46.0
415;year;2006;?
1503;bike_name;Suter;?
4372;position;2;?
2341;shortname;ITA;?
796;number;46.0;1.0
646;team_name;Ducati Marlboro Team;?
4167;number;5.0;16.0
4307;year;2021;?
1669;number;58.0;?
4185;shortname;DOH;DOH
844;rider;2094;?
3747;number;42.0;5.0
3401;number;65.0;65.0
4392;position;2;?
3595;year;2018;?
4215;points;11;?
4282;circuit_name;Catalunya;?
4282;rider;2245;?
4063;shortname;CAT;?
339;team_name;Master - MVA Aspar Team;?
938;position;3;?
1800;category;MotoGP;125cc
1138;circuit_name;Brno;?
792;team_name;Ajo Motorsport;?
2625;rider;2535;1854
3025;bike_name;Kalex;?
675;category;125cc;MotoGP
424;rider;2055;?
2976;bike_name;Kalex;I.C.P.
2888;rider;2532;?
2108;position;3;?
518;position;3;?
3718;bike_name;KTM;Forward KLX
3180;shortname;CAT;?
3441;country;FR;CZ
2531;bike_name;KTM;Moriwaki
3243;bike_name;Yamaha;I.C.P.
2502;shortname;AUS;?
499;points;13;?
2046;shortname;SPA;ANC
2069;points;13;?
2512;bike_name;Kalex;?
4006;points;25;?
209;circuit_name;Istanbul;?
1092;country;ES;ES
1374;year;2010;?
1577;circuit_name;Silverstone;?
4072;points;20;?
968;number;58.0;46.0
3814;country;CH;CH
3542;number;4.0;4.0
2604;circuit_name;Le Mans;?
2376;team_name;QMMF Racing Team;?
2395;shortname;GER;?
1664;team_name;Blusens by Paris Hilton Racing;?
3466;position;1;?
2024;rider;2425;?
3504;position;4;?
2494;rider_name;Dovizioso Andrea;?
1033;position;3;?
1950;rider;2259;?
2475;bike_name;KTM;Kawasaki
3912;points;20;?
539;category;MotoGP;MotoGP
1491;rider;2206;?
2704;points;13;?
4422;category;MotoGP;125cc
725;country;IT;IT
1670;year;2011;?
1337;circuit_name;Catalunya;?
2426;position;1;?
906;shortname;RSM;EMI
2316;rider_name;Kallio Mika;?
1476;rider_name;Marquez Marc;?
613;number;1.0;5.0
1730;number;77.0;77.0
897;rider_name;Bautista Alvaro;Porto Sebastian
2498;number;53.0;12.0
3647;category;MotoGP;MotoGP
4371;category;MotoGP;Moto3
1387;rider;2157;?
3241;rider;2055;?
3406;rider;2293;?
1469;bike_name;Honda;KR211V
4080;position;5;3
3566;circuit_name;Motegi;?
2282;number;26.0;1.0
3100;points;11;?
3460;rider;2585;?
1504;country;SM;IT
3179;team_name;Estrella Galicia 00;?
4311;circuit_name;Assen;?
4435;rider;2644;?
1302;circuit_name;Silverstone;?
480;bike_name;Honda;?
2403;rider_name;Rossi Valentino;?
4119;circuit_name;Aragon;?
758;position;3;?
3460;number;36.0;6.0
685;country;SM;IT
3265;bike_name;Suter;?
3963;rider;2650;?
1739;circuit_name;Ricardo Tormo;?
4343;rider;2615;?
2551;points;25;?
2973;year;2016;?
3996;circuit_name;Spielberg;?
3502;position;2;?
3001;year;2016;?
2949;shortname;AUT;?
1248;country;ES;ES
4027;country;JP;ES
2356;rider_name;Marquez Marc;?
1467;rider_name;Rossi Valentino;?
1991;year;2012;?
3646;number;42.0;1.0
215;bike_name;Honda;?
18;shortname;POR;?
3664;circuit_name;Jerez;?
3756;year;2019;2018
3646;points;25;?
3;circuit_name;Jerez;?
2446;position;1;?
2160;bike_name;KTM;Husqvarna
1399;circuit_name;Misano;?
4265;rider_name;Binder Darryn;Suzuki Tatsuki
423;rider;2006;?
249;category;125cc;MotoGP
2449;circuit_name;Misano;?
4323;position;3;?
4105;team_name;Petronas Sprinta Racing;?
4239;country;IT;HU
575;year;2007;?
