riga;nome attributo;valore da imputare;valore imputato
825;Weight;7.78;?
985;Fur_pattern;bicolor;solid
480;Age_in_years;6.33;?
900;Age_in_years;7.17;?
432;Weight;8.1;?
8;Breed;Angora;?
1030;Age_in_months;2;?
357;Age_in_months;28;?
98;Fur_pattern;solid;solid
69;Breed;Angora;?
65;Neutered_or_spayed;True;False
768;Age_in_months;42;?
467;Body_length;56;?
471;Age_in_months;74;?
461;Allowed_outdoor;True;False
855;Fur_pattern;colorpoint;solid
728;Age_in_years;2.83;?
101;Allowed_outdoor;False;False
543;Age_in_months;100;?
36;Weight;5.0;?
215;Fur_pattern;bicolor;solid
990;Fur_pattern;colorpoint;solid
882;Weight;7.54;?
657;Fur_colour_dominant;brown/chocolate;white
1058;Age_in_years;0.08;?
911;Age_in_years;7.58;?
621;Age_in_years;3.25;?
548;Fur_pattern;solid;solid
191;Neutered_or_spayed;True;False
563;Weight;6.0;?
3;Age_in_years;0.5;?
669;Country;UK;France
425;Age_in_years;4.92;?
277;Age_in_years;10.0;?
825;Age_in_years;4.92;?
31;Weight;3.6;?
1068;Neutered_or_spayed;False;?
118;Country;USA;France
122;Age_in_years;4.83;?
253;Fur_pattern;solid;solid
13;Fur_pattern;solid;solid
21;Age_in_months;52;?
215;Weight;4.0;?
269;Age_in_years;3.0;?
840;Age_in_years;5.58;?
932;Fur_pattern;colorpoint;solid
25;Neutered_or_spayed;True;False
523;Weight;9.0;?
615;Neutered_or_spayed;False;False
495;Breed;Maine coon;?
735;Allowed_outdoor;False;False
435;Fur_colour_dominant;black;white
969;Country;USA;USA
879;Neutered_or_spayed;True;False
555;Weight;4.15;?
323;Fur_pattern;tabby;solid
116;Allowed_outdoor;False;False
222;Allowed_outdoor;False;False
161;Country;USA;France
136;Weight;4.3;?
702;Country;USA;?
1017;Age_in_months;56;?
236;Age_in_years;8.58;?
610;Weight;3.0;?
587;Fur_colour_dominant;black;white
519;Age_in_months;87;?
366;Neutered_or_spayed;True;False
395;Fur_pattern;solid;solid
800;Country;USA;France
568;Age_in_months;107;?
740;Breed;Ragdoll;?
161;Age_in_months;72;?
1067;Age_in_years;0.17;?
661;Body_length;26;?
790;Neutered_or_spayed;True;True
500;Weight;6.2;?
895;Weight;7.22;?
357;Neutered_or_spayed;True;False
13;Neutered_or_spayed;True;False
675;Fur_pattern;bicolor;tabby
45;Fur_colour_dominant;white;white
22;Body_length;34;?
861;Fur_pattern;colorpoint;solid
888;Body_length;44;?
885;Country;USA;?
581;Neutered_or_spayed;True;True
921;Allowed_outdoor;False;False
502;Allowed_outdoor;False;False
160;Body_length;36;?
322;Country;UK;France
939;Fur_colour_dominant;seal;white
996;Country;USA;France
487;Neutered_or_spayed;False;True
956;Allowed_outdoor;False;False
702;Age_in_years;2.17;?
196;Age_in_months;87;?
546;Neutered_or_spayed;True;False
1030;Age_in_years;0.17;?
981;Age_in_years;9.17;?
719;Body_length;45;?
380;Weight;7.1;?
633;Body_length;20;?
304;Country;UK;France
976;Age_in_years;9.0;?
351;Breed;Maine coon;?
63;Country;France;France
1009;Fur_pattern;colorpoint;solid
1036;Fur_pattern;colorpoint;tabby
799;Age_in_years;4.42;?
10;Fur_colour_dominant;white;white
40;Breed;Angora;?
503;Fur_pattern;tabby;tabby
71;Neutered_or_spayed;True;False
156;Fur_pattern;solid;solid
338;Body_length;53;?
61;Allowed_outdoor;True;False
944;Country;USA;USA
362;Age_in_months;31;?
7;Body_length;22;?
847;Body_length;52;?
186;Country;Canada;France
872;Fur_pattern;bicolor;solid
232;Fur_pattern;bicolor;solid
1060;Age_in_years;0.17;?
643;Breed;Ragdoll;?
528;Allowed_outdoor;True;False
1049;Age_in_months;2;?
358;Breed;Maine coon;?
481;Weight;8.13;?
765;Weight;8.5;?
867;Fur_colour_dominant;seal;red/cream
806;Neutered_or_spayed;True;False
976;Allowed_outdoor;False;False
847;Age_in_months;68;?
402;Allowed_outdoor;False;False
145;Neutered_or_spayed;True;False
315;Fur_colour_dominant;black;white
464;Fur_colour_dominant;black;red/cream
162;Age_in_months;72;?
996;Breed;Ragdoll;?
698;Body_length;25;?
626;Body_length;26;79
375;Age_in_months;36;?
603;Breed;Maine coon;?
648;Neutered_or_spayed;False;True
901;Age_in_years;7.17;?
71;Age_in_months;35;?
788;Fur_colour_dominant;seal;white
574;Age_in_months;109;?
157;Neutered_or_spayed;True;False
689;Fur_pattern;bicolor;solid
616;Country;UK;France
298;Allowed_outdoor;False;False
11;Fur_pattern;solid;solid
202;Allowed_outdoor;False;False
1017;Body_length;42;?
365;Body_length;85;?
927;Age_in_months;93;?
650;Age_in_years;4.08;?
892;Weight;7.67;11.0
999;Age_in_years;9.5;?
987;Fur_colour_dominant;seal;?
196;Neutered_or_spayed;False;False
900;Allowed_outdoor;False;False
271;Neutered_or_spayed;True;False
296;Age_in_months;13;?
994;Allowed_outdoor;False;False
173;Fur_colour_dominant;black;white
738;Allowed_outdoor;False;False
747;Body_length;41;?
496;Fur_colour_dominant;black;white
900;Weight;5.04;?
193;Allowed_outdoor;False;False
183;Weight;4.5;?
406;Neutered_or_spayed;True;False
806;Breed;Ragdoll;?
865;Country;USA;France
454;Fur_pattern;tortie;solid
842;Fur_pattern;colorpoint;solid
587;Age_in_months;78;?
37;Breed;Angora;?
3;Neutered_or_spayed;False;False
2;Age_in_years;0.33;?
151;Body_length;36;?
446;Age_in_years;5.42;?
468;Age_in_years;6.0;?
715;Country;USA;France
979;Country;USA;France
981;Country;USA;USA
446;Breed;Maine coon;?
585;Fur_pattern;bicolor;solid
985;Breed;Ragdoll;?
852;Breed;Ragdoll;?
1052;Body_length;14;10
371;Allowed_outdoor;False;False
51;Body_length;41;?
199;Age_in_months;88;?
983;Allowed_outdoor;False;False
779;Body_length;49;?
321;Breed;Maine coon;?
760;Age_in_months;40;?
925;Allowed_outdoor;False;False
652;Fur_pattern;colorpoint;solid
1031;Fur_pattern;bicolor;solid
670;Age_in_years;1.5;?
964;Neutered_or_spayed;True;False
705;Age_in_months;27;?
850;Age_in_months;68;?
555;Country;USA;?
984;Country;USA;France
162;Fur_pattern;solid;solid
320;Country;France;France
257;Weight;4.0;?
771;Allowed_outdoor;False;False
987;Weight;8.61;?
38;Country;France;France
749;Age_in_months;39;?
827;Neutered_or_spayed;False;?
599;Allowed_outdoor;False;False
673;Weight;4.5;?
600;Age_in_years;6.5;?
1056;Neutered_or_spayed;False;False
1034;Body_length;14;10
571;Country;USA;France
88;Country;France;France
767;Fur_pattern;colorpoint;tabby
407;Breed;Maine coon;?
968;Body_length;41;?
14;Allowed_outdoor;False;False
611;Weight;3.3;?
124;Breed;Angora;?
41;Breed;Angora;?
1050;Allowed_outdoor;False;False
282;Age_in_years;0.17;?
185;Country;Canada;France
876;Fur_colour_dominant;seal;white
841;Fur_colour_dominant;seal;black
878;Age_in_months;75;?
901;Weight;9.0;?
22;Weight;3.8;?
308;Body_length;38;?
918;Body_length;49;?
153;Allowed_outdoor;False;False
256;Weight;4.1;?
494;Allowed_outdoor;False;False
1041;Age_in_years;0.17;?
140;Weight;2.4;?
309;Fur_pattern;solid;solid
739;Age_in_months;37;?
644;Fur_pattern;colorpoint;solid
222;Age_in_months;86;?
54;Neutered_or_spayed;False;True
624;Age_in_years;0.5;?
1070;Age_in_years;0.17;?
656;Weight;3.9;?
503;Neutered_or_spayed;False;False
405;Fur_colour_dominant;black;white
210;Neutered_or_spayed;False;False
998;Fur_colour_dominant;seal;white
597;Breed;Maine coon;?
246;Neutered_or_spayed;False;False
631;Fur_pattern;bicolor;tabby
956;Neutered_or_spayed;False;False
537;Breed;Maine coon;?
328;Fur_colour_dominant;white;white
15;Country;France;France
555;Allowed_outdoor;False;False
821;Country;USA;France
845;Allowed_outdoor;False;False
640;Body_length;22;?
285;Weight;3.5;?
942;Age_in_months;98;?
481;Fur_pattern;tabby;solid
56;Age_in_years;2.25;?
436;Country;USA;France
3;Country;France;France
148;Fur_pattern;solid;solid
879;Allowed_outdoor;False;False
1058;Weight;0.8;?
528;Age_in_years;7.5;?
607;Allowed_outdoor;False;False
410;Body_length;63;?
634;Weight;4.4;?
658;Weight;4.1;?
525;Allowed_outdoor;False;False
936;Allowed_outdoor;False;False
249;Breed;Angora;Maine coon
588;Body_length;87;?
1012;Fur_colour_dominant;seal;?
1053;Body_length;17;?
1016;Allowed_outdoor;True;False
827;Fur_colour_dominant;brown/chocolate;?
64;Age_in_months;30;32
726;Fur_colour_dominant;seal;red/cream
459;Weight;7.65;?
1043;Weight;0.8;?
973;Weight;6.66;?
260;Body_length;36;?
560;Fur_pattern;solid;solid
166;Fur_colour_dominant;white;white
258;Age_in_months;36;?
1013;Breed;Ragdoll;?
286;Breed;Maine coon;Maine coon
515;Allowed_outdoor;False;False
150;Fur_colour_dominant;white;white
1023;Country;USA;France
978;Neutered_or_spayed;True;False
381;Weight;9.8;?
861;Body_length;38;?
76;Age_in_months;37;?
803;Neutered_or_spayed;False;True
182;Neutered_or_spayed;True;False
975;Allowed_outdoor;False;False
1005;Country;USA;?
374;Neutered_or_spayed;True;False
288;Fur_pattern;solid;solid
798;Fur_colour_dominant;brown/chocolate;white
468;Body_length;59;?
173;Breed;Angora;?
599;Body_length;37;?
629;Breed;Ragdoll;?
1012;Age_in_years;9.83;?
213;Allowed_outdoor;False;False
371;Fur_colour_dominant;red/cream;red/cream
950;Age_in_years;8.25;?
831;Breed;Ragdoll;Angora
977;Neutered_or_spayed;False;?
704;Breed;Ragdoll;?
192;Body_length;39;?
338;Country;Germany;France
146;Allowed_outdoor;False;False
569;Age_in_months;91;?
1024;Body_length;12;?
548;Age_in_years;8.5;?
261;Fur_pattern;solid;solid
952;Allowed_outdoor;False;False
596;Breed;Maine coon;?
453;Neutered_or_spayed;False;False
115;Age_in_months;55;?
881;Neutered_or_spayed;True;True
79;Country;USA;France
139;Allowed_outdoor;False;False
963;Weight;6.79;?
157;Country;USA;France
207;Age_in_months;93;?
480;Weight;6.92;?
428;Fur_colour_dominant;black;white
610;Age_in_months;4;?
848;Neutered_or_spayed;True;False
141;Country;Germany;France
1062;Breed;Maine coon;?
30;Fur_pattern;solid;solid
560;Body_length;64;?
166;Neutered_or_spayed;False;True
956;Age_in_months;103;?
762;Fur_pattern;bicolor;tortie
33;Weight;3.2;?
491;Country;USA;France
304;Fur_pattern;solid;solid
324;Body_length;54;?
18;Fur_pattern;solid;solid
194;Body_length;38;?
297;Fur_colour_dominant;black;red/cream
79;Neutered_or_spayed;False;False
701;Age_in_years;2.17;?
729;Neutered_or_spayed;False;True
481;Country;USA;France
868;Weight;6.22;?
355;Fur_pattern;tabby;solid
356;Neutered_or_spayed;True;False
98;Age_in_years;4.0;?
173;Body_length;39;?
324;Breed;Maine coon;Angora
597;Body_length;74;?
1069;Age_in_years;0.17;?
887;Fur_pattern;bicolor;tabby
580;Age_in_months;98;?
645;Allowed_outdoor;False;False
777;Fur_colour_dominant;brown/chocolate;white
871;Country;UK;USA
573;Allowed_outdoor;True;False
120;Fur_colour_dominant;white;white
474;Breed;Maine coon;?
909;Body_length;50;?
