riga;nome attributo;valore da imputare;valore imputato
522;city;atlanta;?
618;city;san francisco;?
619;city;san francisco;?
620;city;san francisco;?
621;city;san francisco;?
271;addr;252 n. beverly dr.;?
272;addr;3rd st. promenade;?
273;addr;111 s. san pedro st.;?
274;addr;1514 n. gower st.;?
81;phone;212/688-6525;?
82;phone;212-688-6525;?
83;phone;212/489-1515;212-489-1515
402;phone;212/727-8022;?
403;phone;212/869-0900;?
404;phone;212/755-6244;?
405;phone;212/875-1993;?
90;phone;212-752-2225;212/752-2225
91;phone;212/ 371-7777;?
92;phone;212-371-7777;?
93;phone;212/754-6272;?
246;name;ed debevic's;?
247;name;el cholo;?
248;name;gilliland's;?
661;class;549;?
662;class;550;?
663;class;551;?
664;class;552;?
811;type;american;?
812;type;coffeehouses;?
11;class;5;?
12;class;5;?
13;class;6;?
14;class;6;?
731;name;kelley & ping;?
732;name;kiev;?
733;name;kuruma zushi;?
734;name;la caridad;?
752;name;sarabeth's;?
753;name;sparks steak house;?
335;type;coffee bar;?
336;type;coffee bar;?
337;type;coffee bar;?
338;type;italian;?
80;city;new york city;new york city
611;phone;415/989-7800;?
190;city;san francisco;?
191;city;san francisco;?
39;class;19;?
40;class;19;?
200;addr;804 north point st.;?
730;phone;212-721-7001;?
731;phone;212-228-1212;?
732;phone;212-674-4040;?
733;phone;212-317-2802;?
802;type;italian;?
23;type;french;?
24;type;french (classic);?
25;type;french;?
126;name;smith & wollensky;?
127;name;tavern on the green;?
128;name;tavern on the green;?
129;name;uncle nick's;?
581;city;san francisco;?
347;phone;212/496-1588;?
172;type;italian;?
173;type;southern;?
174;type;southern/soul;?
175;type;continental;?
710;name;tommy's;?
711;name;uncle bill's pancake house;?
712;name;water grill;?
713;name;zankou chicken;?
436;city;new york;?
437;city;new york;?
685;class;573;?
469;name;tang pavillion;?
470;name;tapika;?
471;name;teresa's;?
472;name;terrace;?
147;city;las vegas;?
148;city;las vegas;?
149;city;atlanta;atlanta
635;type;asian;?
