riga;nome attributo;valore da imputare;valore imputato
383;Order_Year;1994;1976
856;Engine;PW;PW
224;Order_Year;1988;1967
843;Delivery_Total;2;5
630;Region;Europe;Europe
271;Delivery_Year_;1974;1973
676;Customer_Name;CAAC-Civil Aviation of China;CAAC-Civil Aviation of China
307;Country;Yemen;Yemen
70;Engine;CF;PW
774;Customer_Name;Arkia Israeli Airlines;EL AL Israel Airlines
233;Order_Total;2;1
17;Country;Turkey;Turkey
818;Model_Series;747-8F;747-8F
569;Delivery_Total;1;2
264;Order_Month;May;Feb
235;Customer_Name;Southern Airways - USA (Inacti;Bonanza Airlines
484;Order_Year;1965;1965
581;Customer_Name;AirBridgeCargo Airlines;Volga-Dnepr UK Ltd
362;Region;Europe;Europe
521;Model_Series;MD-80;737-300
1;Country;USA;USA
402;Delivery_Year_;1987;1985
704;Delivery_Year_;1969;1968
154;Country;Bermuda;Bermuda
866;Country;China;China
320;Region;East Asia;East Asia
770;Delivery_Total;2;2
702;Order_Month;Apr;Apr
359;Delivery_Year_;2012;2007
204;Customer_Name;Jetstar - Duplicated (See JSA);Jetstar - Duplicated (See JSA)
483;Order_Year;1976;1976
549;Region;East Asia;East Asia
123;Customer_Name;S7 Group;BLF Ltd.
884;Order_Month;Feb;Jan
650;Engine;GE;GE
214;Delivery_Total;1;4
598;Region;North America;North America
234;Region;South America;South America
737;Region;Europe;Europe
167;Engine;RR;RR
486;Order_Year;1978;1979
33;Customer_Name;Libyan Airlines;Libyan Airlines
276;Delivery_Total;4;16
662;Delivery_Year_;1978;1977
776;Region;North America;North America
510;Order_Year;1958;1966
386;Customer_Name;LADECO;LADECO
97;Customer_Name;AOF Leasing;AOF Leasing
522;Delivery_Total;1;1
598;Customer_Name;Boullioun Aviation Services;NAS Aviation Services LLC
689;Region;Southeast Asia;Southeast Asia
858;Delivery_Total;3;3
898;Order_Total;1;2
390;Order_Total;3;2
280;Order_Month;Apr;Apr
583;Country;Iceland;Iceland
869;Country;Ireland;Ukraine
233;Delivery_Year_;1996;1997
329;Region;Southeast Asia;Southeast Asia
202;Order_Year;1969;1972
599;Order_Year;1991;1998
162;Delivery_Total;5;1
538;Delivery_Total;1;1
547;Customer_Name;Virgin Atlantic Airways;Virgin Atlantic Airways
127;Order_Total;2;2
99;Order_Total;2;1
779;Customer_Name;Shanghai Airlines;Shenzhen Airlines
642;Delivery_Year_;1974;1974
863;Order_Month;Jan;Mar
356;Delivery_Total;1;1
483;Delivery_Total;1;1
81;Order_Total;1;3
485;Order_Month;May;Mar
147;Order_Year;1980;1974
177;Country;Slovenia;Slovenia
534;Order_Month;Jun;Sep
845;Engine;GE;GE
817;Region;Middle East;Middle East
1;Customer_Name;Southern Airways - USA (Inacti;NEA Holdings Inc.
891;Order_Total;1;2
449;Order_Total;2;2
818;Delivery_Year_;2013;2012
327;Model_Series;737-200;737-300
511;Customer_Name;Monarch Airlines;Monarch Airlines
531;Order_Month;Dec;Dec
660;Delivery_Year_;1996;2007
803;Customer_Name;Air Tahiti Nui;Juneyao Air Co. LTD.
260;Customer_Name;Australian Wedgetail;Australian Wedgetail
649;Customer_Name;TAROM Romanian Air Transport;Socialist Republic of Romania
495;Customer_Name;Standard Airways;Panagra Cargo
794;Region;South America;South America
768;Delivery_Year_;1967;1968
787;Order_Year;2008;2001
334;Order_Year;1985;1986
224;Engine;CF;PW
643;Region;Europe;South Asia
349;Region;Europe;Europe
751;Region;Europe;Europe
389;Delivery_Total;2;2
777;Model_Series;737-200;747-400M
128;Order_Total;1;1
81;Model_Series;707/720;737-200
530;Order_Total;3;1
701;Model_Series;737-800;737-800
109;Delivery_Year_;2012;2009
114;Order_Month;Jan;Apr
73;Order_Year;1969;1993
567;Customer_Name;Vietnam Airlines;Vietnam Airlines
676;Model_Series;737-200;747-200
293;Order_Month;Sep;Sep
735;Order_Year;2015;2015
21;Region;North America;North America
720;Customer_Name;Pembroke Capital Limited;Pembroke Capital Limited
717;Delivery_Year_;1997;1980
367;Engine;CF;CF
533;Country;Jordan;Jordan
896;Delivery_Year_;1973;1977
238;Delivery_Total;1;3
898;Order_Year;1967;1965
420;Engine;GE;PW
420;Model_Series;747-400M;737-200
444;Region;East Asia;East Asia
376;Region;Europe;Europe
453;Engine;CF;PW
718;Region;Africa;Europe
500;Order_Year;1981;1977
20;Delivery_Total;1;1
437;Region;South America;South America
853;Engine;GE;GE
317;Engine;PW;RR
290;Customer_Name;McDonnell Douglas;Jet America Airlines
577;Order_Year;2006;2015
793;Order_Year;1966;1965
690;Country;United Kingdom;France
226;Delivery_Year_;2000;1998
140;Customer_Name;AirTran Airways (Merged with S;United States Navy
114;Delivery_Total;2;5
469;Order_Year;2004;2007
659;Delivery_Total;9;2
857;Customer_Name;Germanwings GmbH;Germanwings GmbH
763;Delivery_Total;1;1
299;Order_Year;2006;2013
731;Customer_Name;ALAFCO;ALAFCO
840;Order_Total;7;2
506;Order_Year;2019;1997
71;Delivery_Total;2;1
