riga;nome attributo;valore da imputare;valore imputato
329;Model_Series;737-800;?
217;Order_Year;1968;?
478;Engine;RR;?
768;Engine;PW;PW
106;Region;Europe;Europe
447;Engine;PW;PW
121;Order_Month;Jul;?
137;Order_Year;1999;?
452;Order_Year;1968;?
115;Customer_Name;Air India;?
169;Region;South Asia;South Asia
783;Customer_Name;Air Siam;?
752;Order_Year;2008;?
338;Delivery_Total;2;2
299;Region;Europe;Europe
707;Order_Year;2017;?
697;Order_Month;Jan;?
358;Customer_Name;Ruili Airlines;?
174;Order_Total;2;2
748;Engine;CF;?
594;Delivery_Year_;1960;?
502;Model_Series;MD-80;?
562;Delivery_Year_;1992;?
680;Order_Total;1;1
162;Region;North America;North America
337;Order_Total;1;1
357;Customer_Name;SonAir;?
334;Customer_Name;Aero Lloyd;?
405;Model_Series;737-400;?
635;Country;Ireland;Ireland
853;Customer_Name;DHL;?
91;Order_Year;2000;?
658;Order_Total;7;7
666;Order_Total;1;1
289;Order_Month;Mar;?
633;Delivery_Year_;1977;?
259;Order_Month;Mar;?
782;Order_Month;Apr;?
188;Country;USA;?
740;Delivery_Year_;1970;?
636;Region;North America;North America
695;Order_Year;1976;?
710;Model_Series;737-800;?
503;Model_Series;MD-80;?
140;Customer_Name;AirTran Airways (Merged with S;?
677;Model_Series;737-400;?
577;Engine;CF;CF
560;Delivery_Total;1;1
601;Delivery_Year_;1966;?
555;Order_Month;Oct;?
768;Customer_Name;NEA Holdings Inc.;?
758;Order_Year;1976;?
230;Engine;PW;?
820;Region;South Asia;South Asia
826;Customer_Name;East African Airways;?
41;Engine;RR;PW
72;Order_Year;1966;1966
134;Delivery_Year_;1992;?
74;Order_Year;1978;?
381;Order_Total;4;4
365;Customer_Name;Finans AB Balans;?
603;Region;East Asia;East Asia
140;Country;USA;?
113;Customer_Name;Adria Airways d.d.;Adria Airways d.d.
392;Model_Series;DC-8;?
218;Delivery_Year_;2006;?
163;Order_Total;1;1
484;Engine;PW;?
452;Delivery_Year_;1969;?
608;Order_Month;Aug;?
665;Customer_Name;Korean Air Force Peace Eye;?
32;Engine;PW;CF
742;Order_Total;1;1
278;Order_Month;Mar;?
678;Country;Belgium;Belgium
445;Order_Year;2016;?
757;Region;South America;South America
81;Model_Series;707/720;?
684;Delivery_Total;1;1
830;Country;China;?
334;Engine;PW;?
227;Order_Month;Jan;?
896;Delivery_Year_;1973;?
63;Order_Total;2;2
120;Order_Year;1973;?
30;Model_Series;MD-11;737-700
318;Order_Year;1965;?
36;Order_Year;2007;?
735;Order_Month;Feb;?
286;Model_Series;737-700;737-700
