riga;nome attributo;valore da imputare;valore imputato
696;addr;510 s. arroyo pkwy.;?
487;phone;212/683-3333;?
321;class;208;?
247;class;134;?
486;type;american;?
501;addr;1186 n. highland ave.;?
668;phone;310-815-1290;?
392;city;new york;?
162;city;atlanta;?
333;city;new york;?
586;phone;415/292-0101;?
620;phone;415/982-7877;?
369;class;256;?
461;phone;212/873-3700;?
842;city;san francisco;?
259;phone;213/667-0777;?
313;phone;212/484-5120;?
326;name;capsouto freres;?
506;phone;404/266-1600;?
607;addr;3226 mission st.;?
834;city;san francisco;?
668;class;556;?
638;name;vivande ristorante;?
163;type;american;?
376;addr;20 cornelia st.  between bleecker and w. 4th st.;?
707;type;japanese;?
407;class;294;?
647;type;noodle shops;?
742;city;brooklyn;?
708;addr;8360 melrose ave.;?
493;city;atlanta;?
401;phone;212/343-9599;?
59;name;carnegie deli;?
374;class;261;137
774;phone;702-894-7111;?
636;city;san francisco;?
489;name;xunta;?
644;phone;415/346-0800;?
75;phone;212/765-1737;?
340;city;new york;?
608;phone;415/362-8286;?
653;name;brent's deli;?
745;phone;212-490-6650;?
632;class;519;?
663;name;duke's;?
126;type;steakhouses;?
717;class;605;?
215;class;107;?
803;name;flying biscuit  the;?
26;class;12;12
359;type;american;?
339;class;226;?
382;name;indochine;?
370;phone;212/477-8427;?
231;class;118;?
192;type;american (new);?
193;type;american;?
845;type;californian;?
99;addr;239 w. broadway  between walker and white sts.;?
677;name;killer shrimp;?
233;addr;700 w. fifth st.;?
97;addr;57 jane st.  off hudson st.;?
111;type;or 212/632-5100 american;?
217;phone;415/563-4755;?
853;addr;631 larkin st.;?
503;type;international;?
226;class;113;?
103;type;american;?
325;class;212;?
362;class;249;?
279;name;the mandarin;?
522;class;409;?
476;city;new york;?
40;class;19;19
649;phone;310-788-2306;?
465;name;stage deli;?
575;name;cafe marimba;?
303;city;new york;?
149;type;italian;?
187;phone;404/875-8424;?
116;city;new york city;?
785;type;eclectic;?
379;phone;212/226-6060;?
