riga;nome attributo;valore da imputare;valore imputato
164;Cylinders;8;8
337;Displacement;91.00;133.0
159;Displacement;79.00;200.0
71;Model;72;70
93;Displacement;350.0;307.0
182;Acceleration;14.5;18.5
183;Acceleration;14.0;19.5
39;Acceleration;19.0;18.5
366;Origin;Japan;Japan
181;Car;Datsun 710;Toyota Corolla Mark ii
390;Weight;2205.;2130.
30;Acceleration;12.5;?
9;Model;70;70
304;Car;AMC Spirit DL;Chevrolet Nova
140;Model;74;70
264;Model;78;70
340;Car;Volkswagen Rabbit;Ford F250
57;Car;Mercury Capri 2000;Ford F250
239;Model;77;70
192;Cylinders;4;4
6;Car;Ford Galaxie 500;Pontiac Catalina
167;Horsepower;148.0;158.0
164;Weight;4668.;3504.
134;Cylinders;6;4
358;Displacement;105.0;200.0
306;Origin;US;US
64;Cylinders;4;4
116;Acceleration;19.0;?
103;Horsepower;225.0;?
143;Weight;3613.;3897.
242;Horsepower;88.00;?
23;MPG;18.0;22.0
372;Horsepower;110.0;89.00
107;Displacement;232.0;307.0
309;Displacement;105.0;318.0
134;Displacement;200.0;200.0
228;Acceleration;16.8;19.5
317;MPG;41.5;26.0
316;Car;Pontiac Phoenix;Audi 100 LS
6;Origin;US;US
13;MPG;0;18.0
187;Horsepower;98.00;88.00
367;Horsepower;80.00;?
273;Model;78;70
68;Car;Chevrolet Vega;Chevrolet Vega (sw)
218;Car;Toyota Mark II;Toyota Corolla Mark ii
378;MPG;34.0;35.0
152;Displacement;76.00;307.0
221;Car;Chevrolet C10;Chevrolet Chevelle Malibu
324;Model;80;70
353;Weight;1760.;?
265;Acceleration;17.2;15.5
134;Weight;2875.;2587.
144;Origin;US;US
46;Displacement;350.0;307.0
195;Horsepower;140.0;215.0
255;MPG;39.4;25.0
345;Acceleration;17.0;19.0
237;Displacement;400.0;307.0
243;Horsepower;75.00;90.00
374;Acceleration;17.1;14.5
35;Displacement;304.0;199.0
231;Displacement;318.0;307.0
268;Horsepower;110.0;?
272;Cylinders;8;8
83;Car;Plymouth Satellite Custom (sw);Chevrolet Chevelle Malibu
247;MPG;30.0;25.0
269;Car;AMC Concord d/l;AMC Matador
207;Weight;3651.;2648.
314;Cylinders;6;4
185;Model;75;70
336;Displacement;146.0;107.0
392;Cylinders;4;4
399;Horsepower;96.00;120.0
66;Cylinders;4;4
146;Acceleration;13.5;?
185;Cylinders;4;4
108;Horsepower;88.00;95.00
257;Origin;US;US
166;Model;75;70
131;Weight;2807.;4382.
299;Horsepower;125.0;95.00
265;Weight;3210.;2430.
401;MPG;27.0;40.9
241;MPG;29.0;27.0
231;Car;Dodge Monaco Brougham;?
201;Horsepower;81.00;95.00
27;MPG;25.0;25.0
7;Cylinders;8;8
394;Model;82;70
146;Horsepower;150.0;?
194;Car;Renault 12tl;Ford F250
361;Horsepower;74.00;70.00
123;Car;Chevrolet Monte Carlo S;Plymouth Fury iii
208;Car;Ford Grenada ghia;Volkswagen Super Beetle
168;Acceleration;21.0;?
85;Car;Volkswagen 411 (sw);Volvo Diesel
263;Cylinders;4;4
222;Model;76;70
273;Weight;4080.;4294.
202;Displacement;232.0;232.0
260;Displacement;231.0;232.0
228;Model;77;70
401;Weight;2950.;2046.
381;Cylinders;4;4
291;Origin;US;Japan
16;Cylinders;8;8
237;Model;77;70
406;Horsepower;82.00;110.0
181;MPG;24.0;25.0
380;MPG;29.0;21.0
344;Car;Ford Mustang Cobra;Ford Pinto
344;MPG;23.6;28.0
282;Car;Audi 5000;?
330;Origin;Japan;US
322;MPG;26.4;21.0
402;Displacement;140.0;200.0
304;Acceleration;15.0;17.0
234;MPG;20.5;19.0
252;Cylinders;4;4
124;Car;Pontiac Grand Prix;Chevrolet Monte Carlo
298;Cylinders;8;8
152;Weight;1649.;4098.
346;Model;81;70
176;Model;75;70
64;Car;Plymouth Cricket;Volkswagen 1131 Deluxe Sedan
356;Origin;Japan;Europe
268;Weight;3620.;3381.
21;Displacement;113.0;198.0
214;MPG;26.5;21.0
83;Origin;US;US
94;MPG;14.0;15.0
268;Model;78;70
159;MPG;31.0;21.0
134;Acceleration;17.0;16.0
149;Car;Audi Fox;Ford F250
172;Car;Buick Skyhawk;Toyota Corolla Mark ii
79;Cylinders;3;6
93;Weight;4100.;4312.
39;Origin;US;Japan
183;Horsepower;70.00;70.00
303;Weight;1915.;2126.
342;Acceleration;12.5;13.0
292;Weight;3360.;2045.
192;Model;76;70
172;Displacement;231.0;198.0
361;Weight;2190.;2979.
357;Origin;Japan;US
327;Car;Mazda 626;Citroen DS-21 Pallas
7;Origin;US;US
114;MPG;12.0;18.0
129;Displacement;318.0;307.0
105;Horsepower;105.0;100.0
193;Horsepower;79.00;75.00
258;Origin;US;US
56;Weight;3139.;2130.
395;Model;82;70
155;Model;74;70
158;Weight;2391.;2065.
161;Cylinders;6;4
