riga;nome attributo;valore da imputare;valore imputato
197;MPG;15.5;16.0
202;Cylinders;6;6
395;Horsepower;110.0;100.0
166;Car;Plymouth Grand Fury;Plymouth Satellite
164;Car;Pontiac Catalina;?
297;Horsepower;155.0;?
213;Horsepower;75.00;?
402;Displacement;140.0;?
162;Horsepower;72.00;?
43;Displacement;250.0;200.0
256;Model;78;?
141;Weight;3781.;3278.
22;Car;Plymouth Duster;Plymouth Satellite
331;Weight;2800.;?
90;MPG;23.0;15.0
370;Displacement;168.0;173.0
381;Weight;2735.;?
232;Weight;4295.;?
252;Acceleration;21.5;16.4
391;Displacement;108.0;?
362;Weight;2320.;?
267;Model;78;?
393;Acceleration;15.7;17.6
126;MPG;24.0;?
110;Acceleration;21.0;20.5
180;Horsepower;71.00;?
363;Weight;2210.;?
190;Origin;Europe;Europe
192;Horsepower;92.00;?
10;Displacement;390.0;318.0
288;Acceleration;15.4;11.3
26;Car;Volkswagen 1131 Deluxe Sedan;Volkswagen Super Beetle
187;Acceleration;14.5;13.5
99;Horsepower;150.0;?
369;Car;Volvo Diesel;?
107;Model;73;73
349;Weight;2725.;3245.
241;MPG;29.0;25.5
288;Car;Pontiac Lemans V6;Chevrolet Citation
101;MPG;14.0;?
287;Horsepower;68.00;?
344;Horsepower;0;?
136;MPG;15.0;16.0
113;Origin;US;US
240;Weight;4335.;?
126;Acceleration;15.5;?
371;MPG;24.2;19.0
367;Model;81;?
400;Horsepower;84.00;?
116;Model;73;70
103;Origin;US;US
243;Cylinders;4;4
337;Model;80;?
199;Origin;US;US
96;Displacement;302.0;454.0
233;Weight;3520.;2720.
213;Weight;2155.;?
211;Cylinders;4;4
152;Weight;1649.;2228.
344;Weight;2905.;?
206;Horsepower;53.00;53.00
147;MPG;14.0;22.0
34;MPG;11.0;18.0
125;MPG;29.0;24.0
406;Weight;2720.;?
325;MPG;34.3;?
212;Origin;Japan;US
20;MPG;14.0;14.0
40;Horsepower;48.00;115.0
373;Weight;3725.;?
28;Cylinders;4;4
100;Model;73;73
97;Model;73;70
113;Horsepower;170.0;?
274;Horsepower;68.00;80.00
212;Car;Datsun B-210;Volkswagen Scirocco
281;MPG;23.9;26.0
330;MPG;46.6;34.1
403;Cylinders;4;4
129;Displacement;318.0;318.0
338;MPG;40.9;34.1
203;Acceleration;22.2;?
368;Cylinders;4;4
70;Acceleration;12.0;14.0
299;Origin;US;US
309;Acceleration;13.2;?
388;Origin;US;US
45;MPG;18.0;22.0
89;MPG;28.0;25.0
19;Weight;3761.;3436.
145;MPG;13.0;14.0
368;Origin;Europe;Europe
395;Model;82;73
254;Origin;Japan;Japan
120;Model;73;71
317;Displacement;98.00;89.00
386;Horsepower;68.00;?
114;Weight;4499.;4955.
273;MPG;17.5;19.4
271;Acceleration;13.4;?
331;Model;80;?
158;Model;74;73
304;Acceleration;15.0;16.0
184;Horsepower;90.00;?
141;Car;Chevrolet Chevelle Malibu Classic;Chevrolet Nova Custom
367;Car;Peugeot 505s Turbo Diesel;?
291;Horsepower;90.00;?
372;Weight;3415.;?
